city_name,location
adelaide-sa,5159-aberfoyle-park
adelaide-sa,5000-adelaide
adelaide-sa,5950-adelaide-airport
adelaide-sa,5014-alberton
adelaide-sa,5014-albert-park
adelaide-sa,5154-aldgate
south,5173-aldinga
south,5173-aldinga-beach
adelaide-sa,5009-allenby-gardens
adelaide-sa,5114-andrews-farm
adelaide-sa,5010-angle-park
adelaide-sa,5117-angle-vale
adelaide-sa,5043-ascot-park
adelaide-sa,5035-ashford
adelaide-sa,5137-ashton
adelaide-sa,5076-athelstone
adelaide-sa,5012-athol-park
adelaide-sa,5072-auldana
adelaide-sa,5242-balhannah
adelaide-sa,5091-banksia-park
adelaide-sa,5066-beaumont
adelaide-sa,5042-bedford-park
adelaide-sa,5052-belair
adelaide-sa,5050-bellevue-heights
adelaide-sa,5352-bethany
adelaide-sa,5067-beulah-park
adelaide-sa,5009-beverley
adelaide-sa,5118-bibaringa
adelaide-sa,5015-birkenhead
adelaide-sa,5035-black-forest
adelaide-sa,5051-blackwood
adelaide-sa,5084-blair-athol
adelaide-sa,5114-blakeview
adelaide-sa,5250-blakiston
south,5171-blewitt-springs
adelaide-sa,5110-bolivar
adelaide-sa,5007-bowden
adelaide-sa,5109-brahma-lodge
adelaide-sa,5155-bridgewater
adelaide-sa,5048-brighton
adelaide-sa,5083-broadview
adelaide-sa,5007-brompton
adelaide-sa,5032-brooklyn-park
adelaide-sa,5062-brown-hill-creek
mid-north,5118-buchfelde
adelaide-sa,5120-buckland-park
adelaide-sa,5251-bugle-ranges
adelaide-sa,5066-burnside
adelaide-sa,5110-burton
south,5254-callington
adelaide-sa,5038-camden-park
adelaide-sa,5074-campbelltown
adelaide-sa,5144-carey-gully
adelaide-sa,castambul
adelaide-sa,5094-cavan
adelaide-sa,5159-chandlers-hill
adelaide-sa,5244-charleston
adelaide-sa,5014-cheltenham
adelaide-sa,5157-cherry-gardens
adelaide-sa,5164-christie-downs
adelaide-sa,5165-christies-beach
adelaide-sa,5062-clapham
adelaide-sa,5039-clarence-gardens
adelaide-sa,5034-clarence-park
adelaide-sa,5157-clarendon
adelaide-sa,5085-clearview
adelaide-sa,5152-cleland
adelaide-sa,5042-clovelly-park
adelaide-sa,5069-college-park
adelaide-sa,5081-collinswood
adelaide-sa,5041-colonel-light-gardens
adelaide-sa,5118-concordia
adelaide-sa,5157-coromandel-east
adelaide-sa,5051-coromandel-valley
adelaide-sa,5033-cowandilla
adelaide-sa,5152-crafers
adelaide-sa,5152-crafers-west
adelaide-sa,5051-craigburn-farm
adelaide-sa,5114-craigmore
adelaide-sa,5008-croydon
adelaide-sa,5008-croydon-park
adelaide-sa,5041-cumberland-park
adelaide-sa,5047-darlington
adelaide-sa,5113-davoren-park
adelaide-sa,5041-daw-park
adelaide-sa,5075-dernancourt
adelaide-sa,5008-devon-park
adelaide-sa,5110-direk
adelaide-sa,5048-dover-gardens
adelaide-sa,5094-dry-creek
adelaide-sa,5008-dudley-park
adelaide-sa,5065-dulwich
adelaide-sa,5150-leawood-gardens
adelaide-sa,5063-eastwood
adelaide-sa,5153-echunga
adelaide-sa,5050-eden-hills
adelaide-sa,5111-edinburgh
adelaide-sa,5113-edinburgh-north
adelaide-sa,5039-edwardstown
adelaide-sa,5112-elizabeth
adelaide-sa,5113-elizabeth-downs
adelaide-sa,5112-elizabeth-east
adelaide-sa,5112-elizabeth-grove
adelaide-sa,5113-elizabeth-north
adelaide-sa,5113-elizabeth-park
adelaide-sa,5112-elizabeth-south
adelaide-sa,5112-elizabeth-vale
adelaide-sa,5085-enfield
adelaide-sa,5066-erindale
adelaide-sa,5015-ethelton
adelaide-sa,5069-evandale
adelaide-sa,5116-evanston
adelaide-sa,5116-evanston-gardens
adelaide-sa,5116-evanston-park
adelaide-sa,5116-evanston-south
adelaide-sa,5035-everard-park
adelaide-sa,5019-exeter
adelaide-sa,5126-fairview-park
adelaide-sa,5070-felixstow
adelaide-sa,5010-ferryden-park
adelaide-sa,5023-findon
adelaide-sa,5070-firle
adelaide-sa,5082-fitzroy
